ID,CorrectedLongitude,CorrectedLatitude
1,11.5632215013,48.1490147933
2,11.5632215013,48.1490147933
3,11.5627554419,48.1490824865
4,11.5627323,48.1495833
5,11.563308337,48.1497079511
6,11.5633597119,48.1499982999
7,11.5633597119,48.1499982999
8,11.563353111,48.1505580134
9,11.5640202751,48.1509995847
10,11.564254,48.1510432
11,11.5641735,48.1512256
12,11.564369047,48.1515678169
13,11.564423757,48.1516515236
14,11.564259627,48.1514004034
15,11.5646453561,48.1516265554
16,11.5643854,48.1515146
17,11.564423757,48.1516515236
18,11.564423757,48.1516515236
19,11.564533177,48.151818937
20,11.5647125315,48.1522267805
21,11.5646422664,48.1523533857
22,11.5650654496,48.1526176106
23,11.5652299342,48.1528684987
24,11.5652058683,48.1529653687
25,11.5655873607,48.1533289829
26,11.5657498,48.1535812
27,11.5658927,48.1538991
28,11.5662520736,48.1540874367
29,11.5664161412,48.1543385976
30,11.5663350011,48.1543936843
31,11.5664909192,48.1546982627
32,11.5667141487,48.154806067
33,11.5667658,48.1551506
34,11.5667089171,48.155270539
35,11.5666638341,48.155181278
36,11.5666638341,48.155181278
37,11.5666638341,48.155181278
38,11.5667089171,48.155270539
39,11.5665552153,48.1550177663
40,11.5667141487,48.154806067
41,11.5667141487,48.154806067
42,11.5667141487,48.154806067
43,11.5667141487,48.154806067
44,11.5667141487,48.154806067
45,11.5667141487,48.154806067
46,11.5667141487,48.154806067
47,11.5667141487,48.154806067
48,11.5667141487,48.154806067
49,11.5667141487,48.154806067
50,11.5667141487,48.154806067
51,11.5667141487,48.154806067
52,11.5667141487,48.154806067
53,11.5667141487,48.154806067
54,11.5667141487,48.154806067
55,11.5667141487,48.154806067
56,11.5667141487,48.154806067
57,11.5667141487,48.154806067
58,11.5667141487,48.154806067
59,11.5667141487,48.154806067
60,11.5667141487,48.154806067
61,11.5673301128,48.1339444983
62,11.5675996926,48.1342443023
63,11.5675170456,48.1346649537
64,11.5676842049,48.1350622982
65,11.5679256429,48.135500056
66,11.5681252881,48.1358466619
67,11.5683754435,48.136277344
68,11.5686004358,48.1366348876
69,11.5686004358,48.1366348876
70,11.5686466364,48.1367235753
71,11.568692837,48.1368122629
72,11.568692837,48.1368122629
