ID,CorrectedLongitude,CorrectedLatitude,NearestLinkIdentifier,NearestLinkClass
1,11.5632215013,48.1490147933,945024738,footway
2,11.5632504077,48.1490067673,945024738,footway
3,11.5627650812,48.1490798248,134941607,secondary
4,11.5627323,48.1495833,655275128,service
5,11.563308337,48.1497079511,313577318,residential
6,11.5633432081,48.1499732474,113849535,cycleway
7,11.5633597119,48.1499982999,113849535,cycleway
8,11.5633626899,48.1505551421,120333547,service
9,11.5640060706,48.1509731606,113849535,cycleway
10,11.564254,48.1510432,250311337,steps
11,11.564144417,48.1512329605,219433519,steps
12,11.564347163,48.1515343342,113849535,cycleway
13,11.564412815,48.1516347822,113849535,cycleway
14,11.564281511,48.1514338861,113849535,cycleway
15,11.5646673406,48.1516599722,113849539,cycleway
16,11.5643854,48.1515146,377621491,footway
17,11.564396402,48.1516096702,113849535,cycleway
18,11.564396402,48.1516096702,113849535,cycleway
19,11.564527706,48.1518105664,113849535,cycleway
20,11.5646740863,48.1522378242,1021696685,footway
21,11.5646615117,48.1523479433,945024759,footway
22,11.5650490011,48.1525925218,1123903726,cycleway
23,11.5652134857,48.1528434099,1123903726,cycleway
24,11.5652250677,48.1529597667,682521110,service
25,11.5655873607,48.1533289829,1123903726,cycleway
26,11.5658265497,48.1535913227,39321856,residential
27,11.5658977264,48.1539052738,945024783,cycleway
28,11.5662466047,48.1540790646,945024781,cycleway
29,11.5663942655,48.1543051095,945024781,cycleway
30,11.566324088,48.1543769241,39321856,residential
31,11.5664716308,48.1547035499,129832685,cycleway
32,11.5667045238,48.1548087803,331965613,footway
33,11.5667510401,48.1551244821,250322082,steps
34,11.5666863756,48.1552259085,124509805,footway
35,11.5666728507,48.1551991302,124509805,footway
36,11.5666593258,48.1551723519,124509805,footway
37,11.5666593258,48.1551723519,124509805,footway
38,11.5666863756,48.1552259085,124509805,footway
39,11.5665599358,48.1550265819,124509805,footway
40,11.5667333984,48.1548006405,331965613,footway
41,11.5667333984,48.1548006405,331965613,footway
42,11.5667333984,48.1548006405,331965613,footway
43,11.5667333984,48.1548006405,331965613,footway
44,11.5667333984,48.1548006405,331965613,footway
45,11.5667333984,48.1548006405,331965613,footway
46,11.5667333984,48.1548006405,331965613,footway
47,11.5667333984,48.1548006405,331965613,footway
48,11.5667333984,48.1548006405,331965613,footway
49,11.5667333984,48.1548006405,331965613,footway
50,11.5667333984,48.1548006405,331965613,footway
51,11.5667333984,48.1548006405,331965613,footway
52,11.5667333984,48.1548006405,331965613,footway
53,11.5667333984,48.1548006405,331965613,footway
54,11.5667333984,48.1548006405,331965613,footway
55,11.5667333984,48.1548006405,331965613,footway
56,11.5667333984,48.1548006405,331965613,footway
57,11.5667333984,48.1548006405,331965613,footway
58,11.5667333984,48.1548006405,331965613,footway
59,11.5667333984,48.1548006405,331965613,footway
60,11.5667333984,48.1548006405,331965613,footway
61,11.5673396615,48.1339474685,253359193,footway
62,11.5676127644,48.1342671498,402472941,footway
63,11.5674944674,48.1346979722,30749948,residential
64,11.567679526,48.1350534603,3927541,residential
